PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
08Dl6,8/bp2kQp1/p3np1N/3r4/P1q3P1/5P2/1P5P/3R3K b - - 3 40,e7d6 h6f5 d6e5 d1e1 e5f4 f7e6 f4f3 f5h4,2518,93,79,43,crushing deflection exposedKing middlegame veryLong,https://lichess.org/n2fEcM7n/black#80,
08Dln,1Q3rk1/p6p/1p2p1p1/3b1qr1/2P5/1P6/P2R1PPP/4RBK1 w - - 5 28,b8a7 d5g2 f1g2 f5f3 g1f1 f3g2,2299,79,81,88,crushing kingsideAttack long middlegame pin sacrifice,https://lichess.org/qevYEgZB#55,
08DmD,8/6pp/8/4p3/1Pk3PP/3p4/3K1P2/8 b - - 0 44,h7h6 b4b5 c4b5 d2d3 b5c6 d3e4,1471,75,93,14650,crushing deflection endgame long pawnEndgame quietMove,https://lichess.org/Gje59mAg/black#88,
08Dz6,4R3/p2r3B/2bq1ppQ/5k2/8/1P6/P4PPK/8 w - - 3 38,g2g3 d7h7 h6h7 c6e8 h7h3 f5e5,1951,76,90,165,advantage defensiveMove discoveredAttack endgame long master masterVsMaster pin,https://lichess.org/Rb4w7sn0#75,
08E3Z,1k1r1bnr/ppp1pppp/2n5/8/1q1P4/P1N1Bb2/1PP2PPP/R2QKB1R w KQ - 0 10,d1f3 b4b2 a1b1 b2c3,1229,75,94,192,advantage fork opening short,https://lichess.org/uMYg5kvX#19,Scandinavian_Defense Scandinavian_Defense_Gubinsky-Melts_Defense
08E4k,7r/4b1k1/4B3/1P2Ppp1/p4P2/4q3/P5KP/3R1Q2 w - - 2 45,f1f3 h8h2 g2h2 e3f3,1273,76,76,189,crushing deflection endgame short,https://lichess.org/udyUCcXx#89,
08E6K,7k/5q2/p3rp1p/1pQ5/8/5R1P/P5P1/7K b - - 1 38,e6e5 c5e5 f6e5 f3f7,1516,76,94,1989,crushing endgame short,https://lichess.org/3ewZr2pv/black#76,
08EHL,r4rk1/1b2qp1p/p3p1n1/1p2PpQ1/2p2B1P/2P5/PPB2PP1/R3R1K1 w - - 1 21,g5f6 e7f6 e5f6 g6f4,1056,84,94,435,crushing middlegame short,https://lichess.org/P28NMNrT#41,
08ELm,8/8/6p1/p5p1/P1R4p/3r1k1P/1P3P2/5K2 w - - 0 42,c4c3 d3c3 b2c3 g5g4,2043,76,90,1531,crushing endgame rookEndgame short,https://lichess.org/XuEH9gTr#83,
08EOa,6k1/2Q2pbp/2P3p1/p7/8/B4B1P/P4PP1/q5K1 w - - 1 29,g1h2 g7e5 c7e5 a1e5,846,89,96,310,advantage endgame fork short,https://lichess.org/T3bh41sI#57,
08EQW,6k1/Q6p/3p4/3Pp3/2q1Pp1b/P1N2P1b/5B1P/7K w - - 11 37,f2h4 c4f1 a7g1 h3g2,1218,76,90,1308,endgame mate mateIn2 short,https://lichess.org/0XKkDAxI#73,
08ETF,8/1pp2kpp/3n2p1/p7/P1Pr2P1/1P3K1P/8/5R2 b - - 5 29,d4d3 f3e2 f7e7 e2d3,918,88,92,855,advantage discoveredAttack endgame short,https://lichess.org/xz36K3Tu/black#58,
08ETm,3Q4/pR3pk1/6p1/7p/2r2q2/2P2P2/P1P2P2/5K2 b - - 0 36,c4c3 b7b8 f4b8 d8b8,1689,74,86,129,advantage endgame quietMove short,https://lichess.org/6foWPWlF/black#72,
08EVQ,r4r1k/pp3pR1/4q2p/3p4/3P1B2/6Q1/PP4PP/6K1 b - - 0 25,a8e8 f4e5 e6e5 d4e5,1622,75,96,8061,crushing endgame quietMove short,https://lichess.org/wL3XB2SO/black#50,
08EdP,8/5p1R/p3pbp1/1pQ5/3P4/1q1k1r2/5P1P/4R2K w - - 8 37,h1g2 f6d4 c5c1 f3f2,2304,84,88,749,crushing endgame short,https://lichess.org/dUiqTWhB#73,
08Edb,r6k/1p4pp/p3R3/2P5/P7/2Q1PpP1/q4K1P/B7 w - - 3 36,f2f3 a8f8 f3e4 a2e6,1449,75,94,1041,advantage endgame master short,https://lichess.org/W00wrjIR#71,
08Eig,8/8/1p6/1P2k3/P4p2/5K2/8/8 w - - 0 44,a4a5 b6a5 b5b6 e5d6 f3f4 a5a4 b6b7 d6c7 b7b8q c7b8,1939,75,94,3469,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/jVfeKETm#87,
08EmE,5r2/5PR1/8/8/3p1kP1/2pK4/8/8 b - - 2 48,f4e5 g4g5 c3c2 d3c2 e5e6 g5g6 e6f6 g7g8 f8f7 g6f7,1692,74,95,13202,advancedPawn crushing endgame quietMove rookEndgame veryLong,https://lichess.org/T2L5D7K6/black#96,
08EmX,3k2r1/3rp2q/p7/3p1p1p/1P1P4/N6Q/P2n1P1P/2R3RK w - - 2 30,h3h5 g8g1 c1g1 h7h5,1356,76,81,187,crushing intermezzo middlegame short,https://lichess.org/jJOTCHYF#59,
08F7Z,6k1/2r3p1/5p1p/2p5/p1R5/P3P3/5PPP/6K1 w - - 0 29,c4a4 c5c4 a4c4 c7c4,1176,109,65,57,crushing endgame quietMove rookEndgame short,https://lichess.org/DVjulRqy#57,
08F97,5nrk/p5r1/2R1p3/3pP2B/Q5Pq/5P2/2R5/6K1 b - - 1 41,h4h5 c2h2 h5h2 g1h2,1102,83,95,1310,advantage middlegame pin short,https://lichess.org/tIHDLxH5/black#82,
08F9i,Q7/4bk2/4pp1K/1r6/4n3/8/6P1/8 w - - 0 44,a8e4 e7f8 h6h7 b5h5,1444,76,92,934,endgame mate mateIn2 short,https://lichess.org/EjyO1YGf#87,
08FDm,4r1k1/2p2ppp/3pq3/1Q6/2r5/2P5/P4PPP/R4RK1 w - - 3 23,f1e1 e6e1 a1e1 e8e1,400,99,100,99,backRankMate endgame mate mateIn2 short,https://lichess.org/XiLoBXaw#45,
08FF1,7k/pp1R2p1/7p/8/8/6QP/Pq3rPK/8 b - - 5 31,a7a5 d7d8 h8h7 g3d3 g7g6 d8d7,2096,75,88,87,advantage endgame long,https://lichess.org/UkAl1d56/black#62,
08FFG,8/8/1R4p1/1p1k3p/bB4rP/2P1K3/P7/8 w - - 6 42,b4e7 g4e4 e3d2 e4e7,1125,76,93,418,advantage endgame fork short,https://lichess.org/xRTvrrGw#83,
08FFr,r4k1r/pR2nppp/3Q4/8/8/5N2/2P2KPP/q7 b - - 3 20,a1f6 b7b8 a8b8 d6b8 e7c8 b8c8,1220,76,93,759,advantage long middlegame,https://lichess.org/FNP4SA8K/black#40,
08FIk,1rb2rk1/p1p2ppp/1p2P3/3P4/8/2Pn1QB1/P1q1N2P/R4RK1 b - - 0 18,f7e6 f3f8,587,96,96,227,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/AhJa2Mhn/black#36,Bishops_Opening Bishops_Opening_Vienna_Hybrid
08FKT,r1bq2kr/ppppb1pp/2n5/6B1/4PP2/8/PPP3PP/R2Q1RK1 b - - 0 12,e7g5 d1d5 g8f8 f4g5,1474,76,96,11872,crushing discoveredAttack intermezzo kingsideAttack middlegame short,https://lichess.org/bcKupAFj/black#24,Russian_Game Russian_Game_Italian_Variation
08FPI,r1bq1rk1/ppppbppp/2n2n2/4P1N1/2BP4/8/P4PPP/RNBQK2R b KQ - 0 9,f6e8 d1h5 e7g5 c1g5,1905,74,88,116,advantage opening short,https://lichess.org/45r17Wwe/black#18,Italian_Game Italian_Game_Evans_Gambit
08FWu,1rb2r1k/2pp1p2/p2b1p1p/1p1Bq3/4P1Q1/8/PPP2PPP/RN3RK1 w - - 0 18,b1c3 e5h2,1235,101,75,31,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/rdLcNn60#35,Scotch_Game Scotch_Game_Romanishin_Variation
08FYS,5rk1/p2r2pp/2p3b1/4Q3/4Pp2/1PPq4/P2N2PP/R2R2K1 w - - 2 31,e5e6 g6f7 e6d7 d3d7,1309,82,64,91,crushing defensiveMove middlegame short,https://lichess.org/D8uRpWSl#61,
08FdL,3r1rk1/1b4p1/2p1pq1p/1pP2p2/pP1P1B2/P3R1QP/5PP1/3R2K1 w - - 6 32,f4d6 f5f4 g3f4 f6f4 d6f4 f8f4,1339,74,98,5964,advantage fork long middlegame,https://lichess.org/InvvXYqe#63,
